identifier,container_number,seal_number_1,seal_number_2,equipment_description_code,container_length,container_height,container_width,container_type,load_status,type_of_service
20180101125,CRSU1172150,G1639502,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101125,TRHU3681416,F8806473,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101126,CMAU1083323,G1639522,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101126,TRLU8829398,F8806453,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101126,TCKU2779061,G1639537,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101126,ECMU1935171,F8806452,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101126,ECMU1894196,G1639529,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101127,APZU3349211,G1639545,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101127,TCKU1968266,G1639536,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101127,GESU2691436,F8806458,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101127,CMAU0484569,G1639548,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101127,GESU1250518,F8806487,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101128,GLDU5382057,G1639555,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101128,XINU1493598,F8806492,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101128,TEMU2759943,G1639558,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101128,APZU3887583,F8806399,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101128,FCIU4516248,G1639566,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101129,CMAU2092058,G1639544,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101129,ECMU1967245,G1639541,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101129,CMAU0495882,F8806450,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101129,CMAU1357656,F8806451,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101129,CMAU0559354,G1639565,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101130,ECMU1797920,G1639559,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101130,GESU1368943,F8806489,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101130,CMAU1568540,G1639527,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101130,APZU3919037,F8806490,,Container,2000,806,800,2200,Loaded,Pier to Pier
