identifier,container_number,seal_number_1,seal_number_2,equipment_description_code,container_length,container_height,container_width,container_type,load_status,type_of_service
20180101130,FCIU2802520,G1639519,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101131,APZU2125916,G1639538,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101131,CMAU1307070,F8806444,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101131,CMAU0094827,G1639501,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101131,CRSU1172150,G1639502,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101131,TRHU3681416,F8806473,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101132,CMAU1083323,G1639522,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101132,TRLU8829398,F8806453,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101132,TCKU2779061,G1639537,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101132,ECMU1935171,F8806452,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101132,ECMU1894196,G1639529,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101133,APZU3349211,G1639545,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101133,TCKU1968266,G1639536,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101133,GESU2691436,F8806458,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101133,CMAU0484569,G1639548,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101133,GESU1250518,F8806487,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101134,GLDU5382057,G1639555,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101134,XINU1493598,F8806492,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101134,TEMU2759943,G1639558,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101134,APZU3887583,F8806399,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101134,FCIU4516248,G1639566,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101135,CMAU2092058,G1639544,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101135,ECMU1967245,G1639541,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101135,CMAU0495882,F8806450,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101135,CMAU1357656,F8806451,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101135,CMAU0559354,G1639565,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101136,TCLU6631439,,,Container,4000,900,800,4500,Loaded,
20180101137,CAIU2525520,HLD3739768,,Container,2000,806,800,2210,Loaded,House to House
20180101138,TTNU9099778,FJ01150221,,Container,4000,900,800,4510,Loaded,House to House
20180101139,CMAU0601238,APA10661883,,Closed Container,0,0,0,,Loaded,Pier to Pier
20180101140,GVCU5288155,335363,,Closed Container,0,0,0,,Loaded,Pier to Pier
20180101141,GVDU5048672,335055,,Closed Container,0,0,0,,Loaded,Pier to Pier
20180101142,UESU5128522,341836,,Closed Container,0,0,0,,Loaded,Pier to Pier
20180101143,UESU5121343,341815,,Closed Container,0,0,0,,Loaded,Pier to Pier
20180101144,CMAU0012897,017494,G1657964,Container,2000,806,800,22G0,Loaded,Container Yard
20180101145,TRKU4436733,349218,,Closed Container,0,0,0,,Loaded,Pier to Pier
20180101146,ECMU1268612,APA10661983,,Container,2000,806,800,22G0,Loaded,Container Yard
20180101147,ECMU1268612,APA10661983,,Container,2000,806,800,22G0,Loaded,Container Yard
20180101148,MOAU5834977,977510M,,Container,2000,806,800,2200,Loaded,Container Yard
20180101149,APZU3300931,75,G1661328,Container,2000,806,800,22G0,Loaded,Container Yard
20180101150,APZU3300931,75,G1661328,Container,2000,806,800,22G0,Loaded,Container Yard
20180101151,CAIU2525520,HLD3739768,,Container,2000,806,800,2210,Loaded,House to House
20180101152,NC,,,,0,0,0,,Loaded,
20180101153,NC,,,,0,0,0,,Loaded,
20180101154,CMAU0012897,017494,G1657964,Container,2000,806,800,22G0,Loaded,Container Yard
20180101155,GVDU5044717,353115,,Closed Container,0,0,0,,Loaded,Pier to Pier
20180101156,CRXU9842991,349220,,Closed Container,0,0,0,,Loaded,Pier to Pier
20180101157,GVCU5230894,349217,,Closed Container,0,0,0,,Loaded,Pier to Pier
20180101158,TRKU4421646,341850,,Closed Container,0,0,0,,Loaded,Pier to Pier
20180101159,TRKU4424938,341848,,Closed Container,0,0,0,,Loaded,Pier to Pier
20180101160,NC,,,,0,0,0,,Loaded,
20180101161,TCKU1794673,FEX2810632,,Container,2000,806,800,2210,Loaded,House to House
20180101162,TRHU3312721,G1586870,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101162,TCLU3029351,G1586763,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101162,TCLU7462858,G1586762,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101162,TCLU7350122,G1586761,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101162,TEMU2559842,G1586869,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101163,FCIU3191805,G1586868,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101163,CMAU0789130,G1586862,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101163,CMAU0303980,G1586861,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101163,CMAU1585126,G1586865,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101163,CMAU1478452,G1586864,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101164,TRHU2325869,G1586867,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101164,TEMU3167105,G1586768,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101164,TEMU2877606,G1586767,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101164,TCKU1731865,G1586766,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101164,APZU3754298,G1586765,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101165,TEMU2613917,G1586980,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101165,TCKU1628688,G1586978,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101165,SEGU1783002,G1586976,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101165,CMAU1838498,G1586927,,Container,2000,806,800,2200,Loaded,Pier to Pier
20180101165,APZU3773549,G1586871,,Container,2000,806,800,2200,Loaded,Pier to Pier
