port_of_lading,containers_2019,containers_2020,container_change,lat,lng
"Kotka,Finland",2851,12847,9996,60.4667,26.9417
"Kowloon,Hong Kong",471041,2,-471039,22.3167,114.1833
"Kribi,Cameroon",9,144326862,144326853,2.935,9.91
"Kuantan,Malaysia",40587,270,-40317,3.83,103.32
"Kuching,Malaysia",908,37,-871,1.53,110.33
"Kudamatsu,Japan",9996,10155,159,34.015,131.8703
"Kwinana,Australia",2,3099,3097,-32.2394,115.7702
"La Libertad,Ecuador",8,378,370,-2.2333,-80.9
"La Paz,Mexico",62,1,-61,24.1422,-110.3108
"La Plata,Argentina",23,40,17,-34.9211,-57.9544
"La Spezia,Italy",208124068,595355,-207528713,44.108,9.8289
"Lahad Datu,Malaysia",39,464,425,5.0464,118.336
"Larne,United Kingdom",6,2106,2100,54.8517,-5.8133
"Larvik,Norway",101349,4515174,4413825,59.0532,10.0271
"Le Havre,France",258118401,3,-258118398,49.49,0.1
"Libreville,Gabon",8,3570,3562,0.3901,9.4544
"Limassol,Cyprus",301,3,-298,34.6747,33.0442
"Linden,Guyana",66,1000790,1000724,6.0,-58.3
"Lipari,Italy",2,366961,366959,38.4673,14.9554
"Lisbon,Portugal",45524,305590,260066,38.7122,-9.134
"Liverpool,United Kingdom",80619909,114745,-80505164,53.4072,-2.9917
"Livorno,Italy",123011800,7803,-123003997,43.55,10.3167
"Lobito,Angola",1,148,147,-12.35,13.5464
"London,United Kingdom",64119385,1039,-64118346,51.5072,-0.1275
"Luanda,Angola",665,6,-659,-8.8383,13.2344
"MacKay,Australia",1,117,116,-21.1411,149.1858
"Madre de Deus,Brazil",3,5,2,-12.7408,-38.6208
"Manado,Indonesia",972,2060923,2059951,1.4931,124.8413
"Manaus,Brazil",2456,8,-2448,-3.1189,-60.0217
"Manta,Ecuador",7,90139,90132,-0.95,-80.7162
"Manzanillo,Mexico",118752660,1,-118752659,19.0522,-104.3158
"Maputo,Mozambique",106,600,494,-25.9153,32.5764
"Mar del Plata,Argentina",12485,1279,-11206,-38.0,-57.55
"Marina di Carrara,Italy",1146,11458,10312,44.0381,10.0456
"Mariveles,Philippines",8746,140149,131403,14.43,120.48
"Marsaxlokk,Malta",1704960,14,-1704946,35.8417,14.5447
"Marseille,France",152959,116,-152843,43.2964,5.37
"Mersin,Turkey",21857648,50,-21857598,36.8,34.6333
"Milazzo,Italy",1,3,2,38.217,15.237
"Milford Haven,United Kingdom",50,73150106,73150056,51.7142,-5.0427
"Mo i Rana,Norway",15,1,-14,66.3167,14.1667
"Moengo,Suriname",1262,7,-1255,5.6167,-54.4
"Mohammedia,Morocco",55,90,35,33.6833,-7.3833
"Mollendo,Peru",5278,2,-5276,-17.0231,-72.0147
"Mombasa,Kenya",351872,2304,-349568,-4.05,39.6667
"Monfalcone,Italy",78020,116691663,116613643,45.8046,13.5329
"Monrovia,Liberia",82,2136,2054,6.3133,-10.8014
"Montego Bay,Jamaica",39734,2,-39732,18.4667,-77.9167
"Montevideo,Uruguay",2987784,1394632080,1391644296,-34.9056,-56.1842
"Montrose,United Kingdom",10417,353824,343407,56.708,-2.467
"Motril,Spain",40429,36907,-3522,36.75,-3.5167
"Mumbai,India",7023868,10,-7023858,19.0761,72.8775
"Mundra,India",149881123,139222,-149741901,22.85,69.73
"Murmansk,Russia",94,30821,30727,68.9706,33.075
"Muroran,Japan",23130,1241,-21889,42.3167,140.9667
"Nador,Morocco",1065568,3488,-1062080,35.1667,-2.9333
"Nakhodka,Russia",5842,24746,18904,42.8167,132.8667
"Nakhodka,Russia",5842,24746,18904,67.7206,77.6617
"Napier,New Zealand",996116,5556661,4560545,-39.4903,176.9178
"Narvik,Norway",55,41384,41329,68.4383,17.4278
"Natal,Brazil",2,520400,520398,-5.795,-35.2089
"Natal,Brazil",2,520400,520398,-6.9838,-60.2699
"Nelson,New Zealand",2014441,14,-2014427,-41.2931,173.2381
"New Amsterdam,Guyana",1,354625,354624,6.25,-57.5167
"Newcastle,Australia",8488,1122527,1114039,-32.9306,151.7542
"Nha Trang,Vietnam",690,1835502,1834812,12.245,109.1917
"Niigata,Japan",1928,34,-1894,37.9161,139.0364
"Nouakchott,Mauritania",38,169590,169552,18.0858,-15.9785
"Novorossiysk,Russia",563534,147087,-416447,44.7167,37.7833
"Nyborg,Denmark",14,71,57,55.3058,10.8034
"Ocho Rios,Jamaica",19686,1021837,1002151,18.4167,-77.1167
"Oristano,Italy",333,1,-332,39.9058,8.5916
"Oskarshamn,Sweden",44996,11,-44985,57.2667,16.4333
"Oslo,Norway",105555,119,-105436,59.9133,10.7389
"Otaru,Japan",28,5,-23,43.1833,141.0
"Owendo,Gabon",39,19,-20,0.2912,9.5047
"Paita,Peru",7886512,33119907,25233395,-5.0911,-81.1064
"Palembang,Indonesia",109950,1630,-108320,-2.9861,104.7556
"Palermo,Italy",689818,2039038,1349220,38.1157,13.3613
"Pasir Gudang,Malaysia",1940274,26546,-1913728,1.462,103.9053
"Penarth,United Kingdom",17,94,77,51.43,-3.17
"Perth,Australia",104,704,600,-31.9558,115.8597
"Phuket,Thailand",53008,3,-53005,7.8881,98.3975
"Pisco,Peru",445,3,-442,-13.7167,-76.2
"Ponta Delgada,Portugal",318,170932,170614,37.74,-25.67
"Pontianak,Indonesia",240,87,-153,-0.0206,109.3414
"Pori,Finland",7,6791172,6791165,61.4833,21.8
"Porsgrunn,Norway",44,572941,572897,59.1419,9.6568
"Port Dickson,Malaysia",627,10690,10063,2.5228,101.7959
"Port Harcourt,Nigeria",629,692197,691568,4.8242,7.0336
"Port Louis,Mauritius",50105,3200,-46905,-20.1644,57.5042
"Port Said,Egypt",530860,3,-530857,31.2625,32.3061
"Port Sudan,Sudan",404,274777,274373,19.6158,37.2164
"Porto Empedocle,Italy",111,288355,288244,37.2944,13.5272
"Porto,Portugal",1836408,7,-1836401,41.1495,-8.6108
"Poti,Georgia",5496,1545890,1540394,42.15,41.6667
"Probolinggo,Indonesia",1,6,5,-7.75,113.2167
"Progreso,Mexico",8538523,7404,-8531119,21.28,-89.67
"Progreso,Mexico",8538523,7404,-8531119,32.5842,-115.5842
"Provideniya,Russia",25,5624691,5624666,64.4235,-173.2258
"Puerto Armuelles,Panama",82,126350,126268,8.2833,-82.8667
"Puerto Colombia,Colombia",76,52564140,52564064,11.0167,-74.8833
"Puerto Del Rosario,Spain",4493,4,-4489,28.5,-13.8667
"Puerto El Triunfo,El Salvador",6484,1623,-4861,13.2833,-88.55
"Puerto Madryn,Argentina",181484,18,-181466,-42.7667,-65.05
"Puerto Plata,Dominican Republic",19509042,123,-19508919,19.8,-70.6833
"Puerto Vallarta,Mexico",24631,308,-24323,20.6458,-105.2222
"Pula,Croatia",10672,10,-10662,44.8703,13.8456
"Pulupandan,Philippines",7,47136758,47136751,10.52,122.8
"Punta Arenas,Chile",20,6,-14,-53.1667,-70.9333
"Puntarenas,Costa Rica",2246,0,-2246,9.9667,-84.8333
"Quelimane,Mozambique",11,26,15,-17.8764,36.8872
"Raahe,Finland",9413,377,-9036,64.6833,24.4667
"Rabat,Morocco",73,64,-9,34.0209,-6.8416
"Ras Tanura,Saudi Arabia",30,480,450,26.7074,50.0674
"Rauma,Finland",434638,748133,313495,61.1333,21.5
"Ravenna,Italy",74695,454820,380125,44.4161,12.2017
"Rayong,Thailand",33,2006,1973,12.6742,101.2789
"Recife,Brazil",20,401517,401497,-8.0539,-34.8808
"Regla,Cuba",69844,329158,259314,23.1317,-82.3364
"Riga,Latvia",382578,2725,-379853,56.9475,24.1069
"Rio de Janeiro,Brazil",5095688,22105,-5073583,-22.9111,-43.2056
"Rio Grande,Brazil",10108196,26,-10108170,-32.035,-52.0989
"Rivadavia,Argentina",34,102884746,102884712,-31.5303,-68.5947
"Rivadavia,Argentina",34,102884746,102884712,-33.1833,-68.4667
"Rosario,Argentina",28276,32,-28244,-32.9575,-60.6394
"Rota,Spain",4419,2121953,2117534,36.6167,-6.35
"Rotterdam,Netherlands",337669191,249,-337668942,51.92,4.48
"Rouen,France",2,1799,1797,49.4428,1.0886
"Safi,Morocco",19,1244080,1244061,32.2833,-9.2333
"Sagunto,Spain",1843,429377,427534,39.68,-0.2783
"Salerno,Italy",621286,39,-621247,40.6806,14.7594
"Salford,United Kingdom",33868,1532283000,1532249132,53.483,-2.2931
"Salina Cruz,Mexico",125,13,-112,16.1833,-95.2083
"Saltpond,Ghana",27,404121,404094,5.2091,-1.0606
"Salvador,Brazil",9356158,13,-9356145,-12.9831,-38.4928
"Samarinda,Indonesia",16092,196,-15896,-0.5,117.1378
"Samsun,Turkey",51,8,-43,41.2903,36.3336
"San Antonio,Chile",55449589,130,-55449459,-33.5933,-71.6217
"San Lorenzo,Argentina",16,489261266,489261250,-32.75,-60.7333
"San Lorenzo,Argentina",16,489261266,489261250,-28.1381,-58.7681
"San Pedro,Argentina",77,1105772,1105695,-33.6792,-59.6669
"San Pedro,Argentina",77,1105772,1105695,-24.2196,-64.87
"San Pedro,Belize",162,144669,144507,17.9214,-87.9611
"Sandakan,Malaysia",4756,129,-4627,5.843,118.108
"Santa Elena,Ecuador",5,32380937,32380932,-2.2267,-80.8583
"Santa Marta,Colombia",13198976,257,-13198719,11.2419,-74.2053
"Santander,Spain",14703,12354,-2349,43.4628,-3.805
"Santiago,Chile",13916,22055,8139,-33.4372,-70.6506
"Santo Domingo,Dominican Republic",719956595,245,-719956350,18.4764,-69.8933
"Sattahip,Thailand",1416887,2,-1416885,12.6664,100.9007
"Savona,Italy",3675,2,-3673,44.3081,8.4811
"Semarang,Indonesia",714979,7,-714972,-6.99,110.4225
"Severodvinsk,Russia",340,1,-339,64.5667,39.8667
"Sfax,Tunisia",17,18,1,34.74,10.76
"Sharjah,United Arab Emirates",962,203246,202284,25.3575,55.3908
"Sheerness,United Kingdom",6,32,26,51.441,0.76
"Sihanoukville,Cambodia",2801306,22418,-2778888,10.6333,103.5
"Sikka,India",3888,15,-3873,22.4244,69.842
"Sines,Portugal",129283597,94830809,-34452788,37.9547,-8.8642
"Singapore,Singapore",743896806,256,-743896550,1.3,103.8
"Sitrah,Bahrain",20407,18,-20389,26.12,50.65
"Skien,Norway",2,2,0,59.2096,9.609
"Skikda,Algeria",89,600473,600384,36.8667,6.9
"Split,Croatia",119,5583086,5582967,43.51,16.44
"Stavanger,Norway",267,616652,616385,58.97,5.7314
"Stenungsund,Sweden",2,13665,13663,58.0833,11.8167
"Stockholm,Sweden",2896,199,-2697,59.3275,18.0547
"Struer,Denmark",2,12109,12107,56.4862,8.6044
"Suez,Egypt",591152,6,-591146,29.9667,32.5333
